,method,model,best_params,train_accuracy,test_accuracy,precision,recall,f1_score,kappa,confusion_matrix,runtime,best model
44,robust_scaled-lda,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,1.0,1.0,1.0,1.0,1.0,"[ 8  0  0  0  0  0  0  8  0  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  0  0  1  0  0  0  0  0  0  8]",0.09947061538696289,"KNeighborsClassifier(metric='euclidean', n_neighbors=1)"
45,robust_scaled-lda,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",1.0,1.0,1.0,1.0,1.0,1.0,"[ 8  0  0  0  0  0  0  8  0  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  0  0  1  0  0  0  0  0  0  8]",0.15237903594970703,"DecisionTreeClassifier(criterion='entropy', max_depth=10, min_samples_split=5)"
46,robust_scaled-split pca,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.6981132075471698,0.7,0.7063644688644689,0.7,0.6983193277310925,0.6175298804780877,"[ 6  1  0  0  0  1  0  6  0  2  0  0  0  0 10  0  1  1  0  0  1  2  0  0
  1  0  0  0  0  0  2  0  2  0  0  4]",0.0860593318939209,"KNeighborsClassifier(metric='manhattan', n_neighbors=9)"
47,robust_scaled-split pca,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7861635220125787,0.55,0.5792582417582418,0.55,0.5605714285714286,0.4330708661417323,"[4 1 0 1 1 0 1 0 5 2 1 0 0 0 0 0 8 0 0 2 2 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 2 1 2 0 0 0 3]",0.15172386169433594,"DecisionTreeClassifier(max_depth=20, min_samples_leaf=4, min_samples_split=5)"
48,robust_scaled-split lda,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,0.875,0.8535714285714284,0.875,0.861923076923077,0.8385794995964487,"[ 8  0  0  0  0  0  0  7  0  1  0  0  0  0 12  0  0  0  0  1  0  2  0  0
  0  0  0  0  0  1  0  0  2  0  0  6]",0.09231424331665039,"KNeighborsClassifier(metric='manhattan', n_neighbors=1)"
49,robust_scaled-split lda,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.9245283018867925,0.875,0.9199999999999999,0.875,0.889345238095238,0.8427672955974843,"[ 7  0  0  0  1  0  0  0  6  0  2  0  0  0  0  0 11  0  0  0  1  0  0  0
  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0
  7]",0.16288161277770996,"DecisionTreeClassifier(criterion='entropy', min_samples_leaf=4,
                       min_samples_split=5)"
50,normalized-original,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,0.9,0.8927777777777777,0.9,0.8879971988795518,0.8704453441295547,"[ 8  0  0  0  0  0  0  7  1  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  1  0  0  0  1  0  1  0  0  6]",0.6826939582824707,"KNeighborsClassifier(metric='euclidean', n_neighbors=1)"
51,normalized-original,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 40, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9622641509433962,0.85,0.8616666666666667,0.85,0.848968253968254,0.8067632850241546,"[ 8  0  0  0  0  0  0  5  3  0  0  0  0  1 11  0  0  0  0  0  0  3  0  0
  0  0  1  0  0  0  0  0  0  0  1  7]",2.462327241897583,"DecisionTreeClassifier(criterion='entropy', max_depth=40, min_samples_leaf=2)"
52,normalized-pca,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,0.9,0.8927777777777777,0.9,0.8879971988795518,0.8704453441295547,"[ 8  0  0  0  0  0  0  7  1  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  1  0  0  0  1  0  1  0  0  6]",0.12588214874267578,"KNeighborsClassifier(metric='manhattan', n_neighbors=1)"
53,normalized-pca,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.9182389937106918,0.8,0.8333333333333333,0.8,0.7824102368220015,0.7415185783521809,"[ 6  0  2  0  0  0  0  8  0  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  1  0  0  0  3  0  1  0  1  3]",0.46621108055114746,"DecisionTreeClassifier(max_depth=10, min_samples_leaf=4, min_samples_split=5)"
54,normalized-lda,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,1.0,1.0,1.0,1.0,1.0,"[ 8  0  0  0  0  0  0  8  0  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  0  0  1  0  0  0  0  0  0  8]",0.09972310066223145,"KNeighborsClassifier(metric='euclidean', n_neighbors=1)"
55,normalized-lda,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",1.0,0.95,0.96,0.95,0.9492063492063492,0.9362041467304625,"[ 8  0  0  0  0  0  0  8  0  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  0  0  1  0  2  0  0  0  0  6]",0.14361000061035156,"DecisionTreeClassifier(criterion='entropy', max_depth=10, min_samples_split=5)"
56,normalized-split pca,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}",0.6792452830188679,0.7,0.7159722222222222,0.7,0.6861344537815126,0.6141479099678457,"[ 7  0  0  0  1  0  0  0  5  1  2  0  0  0  0  0 11  0  0  0  1  0  0  1
  2  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  1  3  0  0  0
  3]",0.09440398216247559,"KNeighborsClassifier(metric='manhattan', n_neighbors=11)"
57,normalized-split pca,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7735849056603774,0.55,0.5639682539682539,0.55,0.5500188536953242,0.4339622641509434,"[5 1 0 1 1 0 0 0 5 1 2 0 0 0 0 0 8 0 0 1 3 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 1 3 2 0 0 0 2]",0.1540205478668213,"DecisionTreeClassifier(criterion='entropy', max_depth=10, min_samples_split=10)"
58,normalized-split lda,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,0.825,0.8419642857142857,0.825,0.8219780219780219,0.7763578274760383,"[ 8  0  0  0  0  0  0  0  5  1  1  1  0  0  0  0 11  0  0  0  1  0  0  0
  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  2  0  0  0
  6]",0.0857245922088623,"KNeighborsClassifier(metric='manhattan', n_neighbors=1)"
59,normalized-split lda,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9748427672955975,0.875,0.8904545454545454,0.875,0.8755422647527912,0.8415213946117274,[8 0 0 0 0 0 0 7 0 1 0 0 0 0 9 0 0 3 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 8],0.16163039207458496,"DecisionTreeClassifier(criterion='entropy', min_samples_split=5)"
